name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,host_is_superhost,property_type,room_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
Marvelous South End 2.5 bed/ 2.5 ba,39,9,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,417,500,135,4,1125
Stunning SouthEnd/BackBay Penthouse,38,10,3,21609039,Susan,2552,within an hour,100,0,Condominium,Entire home/apt,600,500,80,2,180
3Bed/2.5Bath Luxury Triplex So. End,26,9,3,9485021,Stacy,2891,within a few hours,100,0,Apartment,Entire home/apt,800,1000,200,5,1125
"Boston, South End - 3 Bedrooms",1,8,2,43217109,Javier,2206,within an hour,100,0,Condominium,Entire home/apt,299,400,175,4,1125
"Victorian Charm, Modern Living: South End/Back Bay",1,10,2,34055750,Philip And Ann,2308,within a few hours,100,0,Condominium,Entire home/apt,275,500,99,2,1125
Safe Clean Convenient ♥ Heart of Boston,55,9,3,2254462,Ce,3426,within a few hours,100,0,Apartment,Private room,99,1500,65,2,1125
South End Beauty/1+ beds/1.5 baths,2,10,2,52081526,Thomas,2094,within a few hours,100,0,Apartment,Entire home/apt,250,250,30,3,1125
Large 2 Bedrooms Boston South End,3,8,3,4897723,Sina,3152,within a day,100,0,Apartment,Entire home/apt,200,800,80,1,1125
Boston Centrally Located Brownstone,29,10,3,66371429,Eve,1987,within a few hours,100,0,Apartment,Private room,119,299,39,1,1125
"Victorian Dream Studio, South End",19,9,3,5430185,Laura,3110,within an hour,100,0,Apartment,Entire home/apt,170,400,200,32,1125
Nice South End Condo.,24,10,3,29806038,Jason,2370,within a few hours,100,0,Apartment,Entire home/apt,225,200,60,2,30
Ideal Studio in Back Bay/S. End,13,8,3,1444340,Will,3582,within a day,98,0,Apartment,Entire home/apt,144,500,75,2,1125
Modern studio in Boston’s South End,2,10,3,2976895,Abdin,3347,within a few hours,100,0,Apartment,Entire home/apt,170,300,60,4,20
"zWestPrivateBedBath MinsToBus,Metro",21,9,3,1651480,Edward,3522,within an hour,100,0,Apartment,Private room,217,150,45,2,87
Fashionable South End Condo,26,9,1,43449123,Patrick,2203,within an hour,100,0,Apartment,Entire home/apt,240,250,100,2,1125
Serene in the South End,8,8,3,5430185,Laura,3110,within an hour,100,0,Apartment,Entire home/apt,160,400,200,27,1100
1 bedroom apt in Boston South End,24,10,3,44392534,Nick,2191,within a few hours,100,0,Apartment,Entire home/apt,175,1000,50,1,1125
South End studio with private patio,13,10,2,49104276,Dan & Daniela,2132,within a few hours,100,0,Apartment,Entire home/apt,228,750,25,2,5
"South End Private Garden, Free Parking",3,9,3,41661623,Christopher,2223,within an hour,100,0,Apartment,Entire home/apt,161,200,50,2,1125
South End Artist Loft in SOWA,4,7,3,271917,Sheryl,3978,within a few hours,100,0,Condominium,Entire home/apt,300,1000,125,2,1125
Cool Boston Crib. Awesome Building,27,9,2,6103953,Josh,3065,within an hour,100,0,Apartment,Entire home/apt,177,300,99,2,1125
"Boutique South End, with sunshine",16,9,3,5430185,Laura,3110,within an hour,100,0,Apartment,Entire home/apt,185,400,200,32,365
Boston South End - Multiple Rooms,3,9,2,43217109,Javier,2206,within an hour,100,0,Condominium,Private room,125,180,50,2,1125
Fantastic 2 bed South End duplex!,3,10,2,26164941,Paul,2436,within a day,100,0,Apartment,Entire home/apt,150,100,100,1,1125
Sunny Studio in Back Bay/ S. End,20,8,3,1444340,Will,3582,within a day,98,0,Apartment,Entire home/apt,122,500,75,2,1125
2 BR Apt Boston South End,4,10,3,4897723,Sina,3152,within a day,100,0,Apartment,Entire home/apt,200,600,80,1,1125
"Great Spot - South End, 2 BR Condo",3,10,1,64837202,Kim,1998,within a day,100,0,Condominium,Entire home/apt,350,500,60,2,1125
Stay in the heart of South End!,62,10,2,7422781,Christine,2989,within a few hours,100,0,Apartment,Entire home/apt,80,100,40,1,7
"BMC, Symphony T, NE, BU, Berklee!!",22,10,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,188,199,65,2,1125
South End 1 Bedroom PERFECTION!,16,9,2,22110106,Chris,2539,within an hour,100,0,Apartment,Entire home/apt,215,300,50,1,1125
Brownstone on Charming Dead End St.,8,10,3,32870796,Jessica,2324,within a few hours,90,0,Apartment,Entire home/apt,300,500,50,2,300
Classic Boston Brownstone,9,10,3,10115868,Dave,2858,within an hour,100,0,Apartment,Entire home/apt,250,250,50,3,1125
"Private Roof-Deck, South End PH Apt",6,10,3,28972872,Marc,2384,within an hour,100,0,Apartment,Entire home/apt,200,250,65,1,1125
Great room in Boston's South End,6,9,3,4897723,Sina,3152,within a day,100,0,Apartment,Private room,119,200,15,1,1125
Best Location in Boston (Copley Sq),18,9,2,22891260,Petar,2520,within an hour,100,0,Apartment,Entire home/apt,200,400,60,2,8
Luxury One Bed in Coolest Building!,43,9,2,47889779,Kyle,2146,within an hour,86,0,Apartment,Entire home/apt,130,250,99,2,1125
One Bedroom Parlor Townhouse,4,7,1,53603592,Ingrid,2080,within a few hours,70,0,House,Entire home/apt,220,150,100,1,1125
Gorgeous 2Bed in Historic South End,5,10,2,22288672,Heather,2535,within a day,100,0,Condominium,Entire home/apt,280,500,100,2,1125
Classic 2 Bed/1.5 Bath in South End,37,9,3,1444340,Will,3582,within a day,98,0,Apartment,Entire home/apt,235,500,125,2,1125
Bright 1BR in South End w/ Pool+Gym,12,9,3,12243051,Flatbook,2771,within a few hours,71,0,Condominium,Entire home/apt,189,400,95,3,1125
Top of the South End Brownstone,40,9,2,1592221,Sarah,3537,within a day,90,0,Apartment,Entire home/apt,250,500,100,2,1125
3BR Historic South End Penthouse,2,10,3,17219748,Cecilie,2641,within an hour,100,0,Apartment,Entire home/apt,650,1000,150,2,1125
Classic & Stylish w/ Balcony,3,10,3,4195134,LifestyleFurnishedApartments,3223,within a day,70,0,Apartment,Entire home/apt,110,1000,150,60,365
