name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,host_is_superhost,property_type,room_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
Extended stays,4,10,1,51992629,Jef,2095,within a few hours,100,0,Apartment,Entire home/apt,150,100,50,4,10
*** Sunny apartment *** near Airport & Train stop,25,9,2,23777641,Gavin,2497,within an hour,100,0,Apartment,Entire home/apt,99,350,40,3,1125
Sunny 2/1 Modern Condo Near Subway,23,9,3,3594203,Shawn,3286,within an hour,100,0,Condominium,Entire home/apt,99,300,99,2,1125
**Studio by Airport and T Station**,49,9,2,23777641,Gavin,2497,within an hour,100,0,Apartment,Entire home/apt,70,350,40,21,1125
Private Room Logan Airport,1,6,1,22402141,Mirian,2532,within an hour,100,0,House,Private room,80,500,100,7,9999
Sunny renovated 1 bedroom in friendly East Boston,9,10,1,507084,Nicole,3809,within an hour,100,0,Apartment,Entire home/apt,145,100,35,1,1125
Small Room for one person! Twin bed,7,10,2,80820612,Hugo,1904,within an hour,100,0,Apartment,Private room,40,100,20,1,1125
"1 Cozy Room 3mins walk to Train, 5mins to Airport",24,10,2,66377071,Hector,1987,within an hour,100,0,Townhouse,Private room,44,100,5,1,1
Nice room steps to Airport & Subway,65,9,3,41542719,Ivan,2224,within an hour,100,0,Apartment,Private room,89,100,10,1,1125
Modern condo close to downtown,9,10,1,19646638,Boyd,2597,within a day,100,0,Condominium,Entire home/apt,124,500,60,2,1125
East Boston Room,21,9,1,24014785,Andrey,2491,within an hour,100,0,House,Private room,85,150,10,1,1125
Harbor Side 1BR Nr. Airport & Train,7,4,3,5618949,Alan,3097,within an hour,100,0,Apartment,Entire home/apt,135,100,40,1,1125
Minutes to Boston - Near Ocean 69-1,58,8,3,6331373,Quinn-May,3050,within an hour,100,0,House,Private room,72,100,20,1,180
"Private room 3 mins to T, 5mins driving to airport",8,10,1,66377071,Hector,1987,within an hour,100,0,Apartment,Private room,45,100,5,1,1
Minutes to Boston-Near Beach 71-5,75,9,3,6331373,Quinn-May,3050,within an hour,100,0,House,Private room,72,100,20,1,1125
"Cozy Room near Logan Airport ,T",90,9,3,41542719,Ivan,2224,within an hour,100,0,Apartment,Private room,79,100,10,1,1125
Modern Navy Yard Apartment,7,9,2,15151322,Jianmin,2691,within a day,82,0,Apartment,Entire home/apt,225,150,50,2,7
Navy Yard Condo on the Water!,19,10,1,29472153,Kristin,2376,within a few hours,100,0,Apartment,Entire home/apt,199,100,25,1,1125
Historic Charlestown Brownstone,4,9,3,19241302,Deborah,2604,within a day,90,0,House,Entire home/apt,600,500,100,4,28
Grand Colonial in Historic Boston.,112,9,3,3842205,Nicolo,3262,within an hour,100,0,House,Entire home/apt,500,500,125,1,1125
Amazing & convenient Charlestown Navy Yard Apt,14,9,2,76412054,Chorm,1927,within an hour,100,0,Condominium,Entire home/apt,234,100,75,2,14
"Unique 3 Bed, 2 Bath Apartment ",98,10,2,10477638,Robert,2841,within an hour,90,0,Apartment,Entire home/apt,375,500,80,2,1125
Comfortable room near Subway 14-3b,1,10,3,38092410,Ketai,2260,within a few hours,96,0,House,Private room,55,200,25,1,1125
Historic 3+br in Heart of Boston,18,10,3,29688938,Heather And Mike,2372,within a few hours,100,0,House,Entire home/apt,325,300,50,2,7
The Rainbow Room,2,10,2,3432624,Alex,3303,within a few hours,100,0,House,Private room,135,250,25,3,30
"Sunny, Top Floor 2BR with Views",24,10,3,36088668,Christina,2283,within a day,100,0,Condominium,Entire home/apt,225,500,50,2,1125
Charlestown Penthouse 3 bedroom/ 2 baths,1,10,3,1444340,Will,3582,within a day,98,0,Apartment,Entire home/apt,315,500,125,2,90
Historic and Charming Brownstone!!,4,9,3,14133713,Katy,2716,within a few hours,83,0,House,Entire home/apt,680,1000,200,3,1125
Historic Charlestown 2 bedroom,3,9,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,250,500,125,3,90
Stunning 2-Bed/2-Bath Townhouse in Historic Area,1,10,3,3432624,Alex,3303,within a few hours,100,0,Apartment,Entire home/apt,330,250,85,2,120
Beautiful City Rental,10,10,2,22842174,Carrie,2521,within a day,80,0,Condominium,Entire home/apt,165,95,50,2,4
"14 min to Harvard, MIT, Downtown Crossing and MGH",1,6,1,25064382,Al,2461,within an hour,100,0,Apartment,Private room,39,200,25,14,1125
Charlestown Penthouse w/ roof deck,18,9,2,38352201,John,2257,within a day,90,0,Apartment,Entire home/apt,200,500,80,2,1125
Penthouse Bedroom on Freedom Trail,47,9,2,5622624,Ashley,3097,within a few hours,100,0,Apartment,Private room,125,250,60,4,1125
Beautiful Bunker Hill 2 BD,27,8,3,38188681,Melissa,2259,within an hour,100,0,Apartment,Entire home/apt,299,3000,120,1,1125
BOSTON JUST IN FRONT MGH HOSPITAL,8,10,3,28763698,Eleanore,2388,within a few hours,100,0,Apartment,Private room,145,450,50,3,1125
BOSTON - MGH -Beacon Hill- Downtown- great locatio,4,8,3,28763698,Eleanore,2388,within a few hours,100,0,Apartment,Private room,155,400,35,3,120
Corner 1 bed facing Golden Dome,11,9,3,26988,Anne,4439,within a few hours,100,0,Apartment,Entire home/apt,110,1000,250,6,90
HISTORIC BEACON HILL-ENJOY OUR CAT,19,9,3,2120816,Larry David,3445,within a few hours,75,0,Apartment,Entire home/apt,425,275,55,2,180
2990$ / mo. sunny & renovated 2 BDR in Beacon Hill,2,10,3,741190,Vincent,3737,within a day,100,0,Apartment,Entire home/apt,128,1000,100,15,45
Perfect Location Beacon Hill Studio,36,8,3,5618949,Alan,3097,within an hour,100,0,Apartment,Entire home/apt,89,100,40,1,1125
Beautiful Beacon Hill 1 Bedroom,3,9,1,12192889,Christina,2773,within an hour,100,0,Apartment,Entire home/apt,275,200,65,2,5
1 Bedroom in Beacon Hill,2,9,1,15681500,Jay,2678,within a few hours,100,0,Apartment,Private room,85,95,10,1,1125
New 3 Bed/2 Ba Duplex - Beacon Hill,7,8,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,769,500,125,2,1125
Beacon Hill 2bed2bath BEST LOCATION,8,8,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,267,99,65,1,1125
Modern Beacon Hill 2 Bedroom ,33,10,3,11206328,Natasha,2805,within a day,90,0,Apartment,Entire home/apt,220,100,40,2,1125
An Elegant Condo in Beacon Hill,49,9,3,47470056,Kevin,2152,within an hour,100,0,Condominium,Entire home/apt,210,150,80,2,1125
Little Room on the Hill,17,9,3,35409793,Maggie,2291,within an hour,100,0,Apartment,Private room,113,350,20,1,1125
Luxury Beacon Hill Apartment 1-BR,66,10,3,6508758,Xerxes,3040,within an hour,100,0,Apartment,Entire home/apt,238,200,79,2,30
Beacon Hill Studio w/ patio&parking,39,10,2,39934024,Jim,2241,within an hour,100,0,Apartment,Entire home/apt,200,150,50,3,1125
"Renovated, State House View",9,10,3,26988,Anne,4439,within a few hours,100,0,Condominium,Entire home/apt,200,1000,250,6,365
Historic Beacon Hill Duplex Condo 2 bedroom Queen,23,9,3,23901135,Lucy,2494,within an hour,100,0,Condominium,Entire home/apt,305,100,100,3,365
Renovated Beacon Hill Beauty,35,10,2,35486394,Emily,2290,within a day,100,0,Apartment,Entire home/apt,149,250,50,2,1125
Beacon Hill -Charles Street Studio ,28,9,3,1444340,Will,3582,within a day,98,0,Apartment,Entire home/apt,200,500,100,2,1125
Boston apartment with 2 double beds,7,9,3,45290513,Carly,2180,within a day,85,0,Apartment,Entire home/apt,275,500,100,3,14
"Beacon Hill, Charles St, MGH, Red T",24,10,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,200,199,65,1,1125
Historic Beacon Hill/BackBay WOW!!!,5,9,3,27075316,Lynne,2419,within a few hours,100,0,Apartment,Entire home/apt,375,4000,125,7,180
Beacon Hill Townhouse,8,10,3,45651169,Katherine,2175,within a few hours,100,0,House,Entire home/apt,650,500,200,4,1125
Beacon Hill Downtown Sofabed in LR,41,9,3,1416883,Roger,3591,within an hour,100,0,Apartment,Shared room,100,300,40,2,30
NEW- Boheme 1bdroom in Beacon Hill!,18,9,3,31394729,Sarah,2344,within a few hours,100,0,Apartment,Entire home/apt,200,300,30,2,1125
Great room in the heart of Beacon Hill,3,9,1,25578688,Giulio,2447,within a day,100,0,Apartment,Private room,330,330,40,1,8
Heart of Boston - Beacon Hill,13,10,3,5670307,Carol,3094,within an hour,100,0,Apartment,Entire home/apt,229,300,95,3,29
Beacon Hill Luxury - Roof Deck!,2,10,3,28090138,Gloria,2399,within an hour,100,0,Apartment,Private room,200,180,100,3,1125
Comfortable Studio on the Boston Commons,8,10,3,81015711,Larry,1904,within an hour,100,0,Apartment,Entire home/apt,150,150,25,1,1
"Large, Sunny Beacon Hill Studio",82,9,3,17288874,Joseph,2639,within a day,100,0,Apartment,Entire home/apt,220,350,85,1,1125
Beacon Hill  1BR Amazing Views,6,10,3,2319506,Jack,3418,within an hour,100,0,Apartment,Entire home/apt,147,147,37,2,10
"Huge, Stately, Clean, Beacon Hill, Reno, 1bd/1bh",8,10,1,53427121,Michael,2081,within a day,100,0,Apartment,Entire home/apt,275,500,100,3,1125
"Top floor Brownstone, tree-lined st",2,9,3,26988,Anne,4439,within a few hours,100,0,Condominium,Entire home/apt,130,1000,150,14,365
Great Private Room in Beacon Hill,20,9,2,29187425,Olja,2381,within a few hours,100,0,Apartment,Private room,150,200,60,3,1125
Beautiful Boston Townhouse Living,9,10,3,10502779,Peter,2839,within a few hours,100,0,Apartment,Entire home/apt,849,1500,150,5,28
"Beacon Hill, Steps to Boston Common",27,9,3,3654852,Jay,3280,within an hour,100,0,Apartment,Entire home/apt,195,300,60,9,1125
Beacon Hill's Charles St.,29,9,3,690922,Arthur,3750,within an hour,100,0,Apartment,Private room,130,200,50,2,1125
Bright Apartment Near Everything,9,10,3,5361449,Galen,3115,within an hour,90,0,Apartment,Entire home/apt,289,250,75,6,1125
Spacious 1 bed facing State House,8,9,3,26988,Anne,4439,within a few hours,100,0,Apartment,Entire home/apt,175,1000,250,5,365
BEACON HILL FABULOUS ONE BEDROOM,83,10,3,19357187,Paul,2602,within an hour,100,0,Apartment,Entire home/apt,225,150,50,2,27
Beacon Hill Studio across from Public Gardens,9,9,3,60362084,Bradford,2030,within an hour,100,0,Apartment,Entire home/apt,175,400,65,2,7
Central Boston Beacon Hill 2brm,154,9,3,2006852,Jay,3462,within an hour,100,0,Apartment,Entire home/apt,220,150,70,1,1125
"Beacon Hill- 2br, 2 bath Personal Home",3,10,3,41766550,Mike,2222,within a few hours,100,0,Condominium,Entire home/apt,300,200,100,2,1125
1 Bed: Best Location In The City!,6,10,3,28123912,Ned,2399,within an hour,100,0,Apartment,Entire home/apt,160,400,110,3,1125
Gorgeous Boston Townhouse Apartment,11,9,3,10502779,Peter,2839,within a few hours,100,0,Townhouse,Entire home/apt,700,1500,150,5,30
Beautiful 1BD in Beacon Hill,51,10,2,11308029,Liz,2802,within a few hours,100,0,Apartment,Entire home/apt,179,300,30,1,6
Huge Beacon Hill House - Roof Deck!,44,9,3,28090138,Gloria,2399,within an hour,100,0,House,Entire home/apt,690,250,250,3,1125
Downtown Boston - Beacon Hill - New,59,9,3,1416883,Roger,3591,within an hour,100,0,Apartment,Private room,175,300,30,2,35
Large 3.5 BR|2 BA Penthouse Duplex,56,9,3,9410008,Jason,2895,within an hour,100,0,Apartment,Entire home/apt,600,600,200,3,60
"2nd floor, 2 story in Beacon Hill",24,10,3,45692962,Brynn,2175,within an hour,100,0,Apartment,Entire home/apt,500,300,50,2,1125
1BD in Beacon Hill w. Amazing roof,18,9,3,362507,Can,3887,within an hour,100,0,Apartment,Entire home/apt,250,1000,150,1,1125
Sunny studio in a great location.,5,9,3,23531248,Andrea,2503,within a few hours,100,0,Apartment,Entire home/apt,140,1000,50,2,1125
"Classic, Quiet Beacon Hill Apt.",8,9,2,62197455,Chris,2017,within a few hours,100,0,Apartment,Entire home/apt,210,250,90,3,1125
Airy Beacon Hill Flat w City Views,18,9,3,20907980,Jay,2570,within a few hours,100,0,Apartment,Entire home/apt,188,500,50,5,1125
Renovated 2BR | 1.5BA on Charles St,62,10,3,9410008,Jason,2895,within an hour,100,0,Apartment,Entire home/apt,375,425,125,3,45
Beacon Hill Townhouse near MGH,60,10,3,7629859,Bernardo,2979,within an hour,100,0,Apartment,Entire home/apt,245,200,80,3,365
Beacon Hill on Charles (#2),33,9,3,690922,Arthur,3750,within an hour,100,0,Apartment,Private room,130,200,50,2,1125
Brand New Beacon Hill Penthouse!,3,10,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,250,150,65,1,1125
Awesome North End Studio,28,10,2,6065334,Dave,3068,within a few hours,100,0,Apartment,Entire home/apt,120,150,25,1,1125
Beacon Hill Gem! Spacious One Bedroom,14,9,1,4020046,Krysti,3242,within an hour,95,0,Apartment,Entire home/apt,159,200,19,1,1125
Beacon Hill -Charles Street Studio,5,10,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,229,500,100,2,1125
Spectacular Beacon Hill 1 bedroom,7,9,3,814298,Brent,3718,within a few hours,98,0,Apartment,Entire home/apt,210,500,100,2,1125
Spectacular Beacon Hill 1 bedroom,9,9,3,1444340,Will,3582,within a day,98,0,Apartment,Entire home/apt,229,500,100,2,1125
Apartment close to everything!,85,10,3,28123912,Ned,2399,within an hour,100,0,Apartment,Entire home/apt,160,500,110,2,1125
The Red Brick Road,1,10,2,17887117,Nike,2626,within an hour,100,0,Apartment,Entire home/apt,175,150,30,2,1125
Large Studio in Theater District,74,8,2,2356643,Ahmed,3414,within a few hours,94,0,Apartment,Entire home/apt,133,100,45,1,1125
Fab Dwntwn Studio Theater & Common,10,8,3,5618949,Alan,3097,within an hour,100,0,Apartment,Entire home/apt,158,100,40,2,1125
Nice Furnished Apt by Theater Distr,67,8,2,2356643,Ahmed,3414,within a few hours,94,0,Apartment,Entire home/apt,150,100,45,1,1125
Sleek 2BR in Downtown Boston,5,10,3,12243051,Flatbook,2771,within a few hours,71,0,Loft,Entire home/apt,279,400,95,3,1125
Lux 3 floor penthouse with roof deck in Downtown,6,9,3,22304512,Juan,2535,within a few hours,100,0,Loft,Entire home/apt,500,500,160,1,600
Downtown Studio Theater Dist Common,76,8,2,2356643,Ahmed,3414,within a few hours,94,0,Apartment,Entire home/apt,152,100,35,1,1125
A View of Boston Common,43,9,2,43959997,Emma,2197,within an hour,100,0,Apartment,Entire home/apt,295,300,100,2,1125
Small Studio by Theater District,52,8,2,2356643,Ahmed,3414,within a few hours,94,0,Apartment,Entire home/apt,128,100,35,1,1125
Downtown - Boston Common view,8,10,3,757253,Nathaniel,3732,within a few hours,100,0,Apartment,Entire home/apt,220,300,60,2,1125
"LOCATION, LOCATION, LOCATION",135,9,3,2329611,Jon,3417,within an hour,100,0,Apartment,Entire home/apt,334,300,120,1,31
"2 bed,1 bath in the Heart of Boston",30,10,2,11272292,Rebecca,2803,within an hour,97,0,Apartment,Entire home/apt,290,125,60,1,1125
Beacon Hill 1BR near Downtown,14,9,3,12243051,Flatbook,2771,within a few hours,71,0,Condominium,Entire home/apt,139,400,95,3,1125
Prestigous Beacon Hill loft apt.,85,9,3,28662502,Tiffany,2389,within an hour,100,0,Apartment,Entire home/apt,239,399,49,1,1125
Boston Studio Across from Majestic,54,8,2,2356643,Ahmed,3414,within a few hours,94,0,Apartment,Entire home/apt,150,100,40,1,1125
Bright 1bed facing Golden Dome,21,9,3,26988,Anne,4439,within a few hours,100,0,Apartment,Entire home/apt,150,1000,250,6,365
Convenient Stay in Chinatown Boston,5,8,1,47486176,Jack,2152,within an hour,100,0,Apartment,Private room,80,100,10,1,1125
Boston Financial District,2,10,1,25757249,Jason,2444,within an hour,100,0,Loft,Private room,139,150,10,1,1125
"Chic, Stylish 1 BD on Beacon Hill",26,10,3,19917804,Marisa,2592,within a few hours,100,0,Apartment,Entire home/apt,249,300,100,3,1125
Penthouse with Full Harbor View,1,8,1,34226261,Flora,2306,within a day,100,0,Apartment,Entire home/apt,400,1000,75,1,1125
Best view in town - Boston,10,9,2,43959997,Emma,2197,within an hour,100,0,Apartment,Entire home/apt,285,300,100,2,1125
Bookcase 1bd facing Boston Common,5,9,3,26988,Anne,4439,within a few hours,100,0,Condominium,Entire home/apt,175,1000,150,7,30
Downtown 1BR on Boston Common,12,9,3,12243051,Flatbook,2771,within a few hours,71,0,Apartment,Entire home/apt,179,400,95,3,1125
Historic servant's quarters,78,9,3,1846434,Jj,3485,within an hour,97,0,Apartment,Entire home/apt,107,100,50,2,1125
Downtown - on the Boston Common,12,9,3,799496,Jin,3721,within a few hours,100,0,Apartment,Entire home/apt,220,300,60,2,1125
"Beautiful open concept,private  one bedroom",9,9,3,3137257,Furnished Rentals,3332,within a few hours,97,0,Apartment,Entire home/apt,199,500,125,3,1125
Studio apartment in heart of boston,81,8,2,11272292,Rebecca,2803,within an hour,97,0,Apartment,Entire home/apt,220,95,40,1,30
Apartment Above Downtown Crossing,37,9,2,43959997,Emma,2197,within an hour,100,0,Apartment,Entire home/apt,285,300,100,2,1125
Stylish Downtown 1 Bedroom,101,9,2,20582119,Jeff,2578,within an hour,100,0,Apartment,Entire home/apt,265,100,60,1,1125
Downtown Boston with a view!,14,9,3,11792930,Jing,2786,within a few hours,100,0,Apartment,Entire home/apt,185,200,50,1,1125
"extra 25% OFF!! FUN studio, Fast WiFi",15,9,3,56359408,Billy,2059,within an hour,100,0,Apartment,Entire home/apt,206,100,35,2,1125
Lovely 1BR in Downtown Boston,4,9,3,12243051,Flatbook,2771,within a few hours,71,0,Apartment,Entire home/apt,189,400,95,3,1125
Large 1 Bed facing State House,18,10,2,26988,Anne,4439,within a few hours,100,0,Apartment,Entire home/apt,154,1000,250,30,365
"Bright, new, modern studio in downtown Boston",20,9,3,3137257,Furnished Rentals,3332,within a few hours,97,0,Apartment,Entire home/apt,150,500,125,3,1125
Super cool! Modern  2 bedroom loft ,34,9,3,3137257,Furnished Rentals,3332,within a few hours,97,0,Apartment,Entire home/apt,235,500,135,3,1125
"Downtown tri level, 900sq ft 1 bed",13,9,3,3137257,Furnished Rentals,3332,within a few hours,97,0,Apartment,Entire home/apt,175,500,125,3,365
Newly Renovated 2 Bed - Downtown,105,9,2,20582119,Jeff,2578,within an hour,100,0,Apartment,Entire home/apt,325,100,80,1,1125
Spacious Downtown Boston Loft,15,10,2,55316424,Emma + Janine,2067,within a day,100,0,Apartment,Private room,125,100,30,1,7
Beacon Hill top floor sunny studio,5,8,3,26988,Anne,4439,within a few hours,100,0,Condominium,Entire home/apt,175,1000,200,5,14
The heart of Downtown,87,9,2,31804748,Dave,2338,within an hour,100,0,Apartment,Entire home/apt,310,100,80,1,1125
"Beautiful, sunny 1BR apartment in prime location",4,10,2,39584749,Shemesh,2244,within a few hours,100,0,Apartment,Entire home/apt,200,120,40,2,3
Beacon Hill 1bed facing Beacon St,6,9,3,26988,Anne,4439,within a few hours,100,0,Apartment,Entire home/apt,175,1000,150,5,36
3 BR|2.5 BA Renovated House Parking Top Location,40,10,3,40946436,John,2230,within an hour,100,0,House,Entire home/apt,350,500,250,1,1125
"2 bed, 2 bath in heart of Boston!",78,9,2,11272292,Rebecca,2803,within an hour,97,0,Apartment,Entire home/apt,300,125,80,1,30
Stunning and Spacious in City Center,24,10,2,74813179,Mike,1935,within an hour,100,0,Apartment,Entire home/apt,375,100,80,1,1125
1BR Aptmt in Heart of Dwntn BOS!,14,10,3,81301451,Azize And Vivian,1902,within an hour,100,0,Apartment,Entire home/apt,140,200,40,1,1125
"Sunney, Beacon Hill one bedroom",6,9,3,3137257,Furnished Rentals,3332,within a few hours,97,0,Apartment,Entire home/apt,150,500,200,14,1125
"Best Boston location, 2BR",7,9,1,27293241,Ismail,2415,within a day,50,0,Apartment,Entire home/apt,250,100,100,1,1125
Modern 1 bedroom in heart of Boston,35,9,2,11272292,Rebecca,2803,within an hour,97,0,Apartment,Entire home/apt,240,100,50,1,1125
Expansive and Modern City Center,26,10,2,71536024,Bill,1954,within an hour,100,0,Apartment,Entire home/apt,375,100,80,1,1125
"Location, Location and Location",25,9,2,43959997,Emma,2197,within an hour,100,0,Apartment,Entire home/apt,225,300,85,2,1125
Apartment Steps from Boston Common,4,9,3,17045533,Lilly,2645,within a day,83,0,Apartment,Entire home/apt,175,500,160,2,1125
Spacious Downtown Two Bedroom,65,9,2,20582119,Jeff,2578,within an hour,100,0,Apartment,Entire home/apt,365,100,80,1,1125
"Modern Loft, 1700 SqFt. Location!",46,10,3,1911807,Chris,3475,within a few hours,100,0,Loft,Entire home/apt,449,500,100,2,1125
Private Room/Perfect Location!,46,10,3,167745,Angela,4081,within a day,70,0,Apartment,Private room,99,100,25,1,365
Unique Fenway/Back Bay/Copley 1 Bed,64,9,3,5618949,Alan,3097,within an hour,100,0,Apartment,Entire home/apt,127,100,40,1,1125
Renovated One Bedroom in Back Bay,121,10,3,9410008,Jason,2895,within an hour,100,0,Apartment,Entire home/apt,199,300,80,3,45
Cozy luxury Apt near prudential Center,5,10,3,52580942,Ben,2089,within an hour,100,0,Apartment,Entire home/apt,150,100,50,2,1125
Large Space in Living Room - Commonwealth Avenue,2,10,3,69884462,Syed,1964,within an hour,100,0,Apartment,Private room,99,100,50,1,1125
Fascinating Cozy Apt  with parking,38,9,3,52580942,Ben,2089,within an hour,100,0,Apartment,Entire home/apt,140,100,35,1,1125
Studio apartment in Fenway,58,9,3,24732813,Son,2471,within a day,60,0,Apartment,Entire home/apt,140,100,45,2,1125
High End Designer In Great Location,12,10,1,13931840,Dylan,2721,within an hour,97,0,Apartment,Entire home/apt,160,250,90,3,180
Cozy private room near Fenway Park,3,8,2,33319723,Anna,2318,within an hour,100,0,Apartment,Private room,85,200,20,1,1125
Modern Apartment in Back Bay Boston,9,9,1,34077299,Russell,2307,within a day,50,0,Apartment,Entire home/apt,175,500,25,1,1125
"LOCATION! SAFE,CENTRAL CITY! CHARM!",9,8,2,9529655,Suzanne,2888,within a few hours,100,0,Condominium,Entire home/apt,295,200,50,4,160
"Cozy Fenway Studio, Be Our Guest!",65,9,3,5618949,Alan,3097,within an hour,100,0,Apartment,Entire home/apt,189,100,40,1,1125
"Great location, cozy, comfortable",2,10,1,76224461,JuJu,1928,within an hour,100,0,Apartment,Entire home/apt,175,100,30,2,4
Charming Private Suite w/Patio,36,9,2,6262335,Katie,3055,within a few hours,93,0,House,Private room,149,300,25,1,1125
"Back Bay, Walking to Convention or Newbury or T!",1,10,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,200,99,50,1,1125
Sunny & beautiful! Walk everywhere!,56,9,3,4170200,Anna,3226,within an hour,100,0,Apartment,Entire home/apt,193,300,60,1,1125
"Cozy, convenient Fenway 1 BR",2,10,1,83270862,Lizzy,1892,a few days or more,30,0,Apartment,Entire home/apt,150,100,75,3,14
"FENWAY PARK, EMMANUEL, Green line T, Easy!!",21,9,3,21184200,Paige,2563,within an hour,99,0,Apartment,Entire home/apt,299,99,60,1,1125
Sunny Studio at Fenway,11,10,2,48018479,Yining,2145,within an hour,100,0,Apartment,Entire home/apt,120,300,75,1,1125
Cozy Luxury Apt in Boston/Backbay/Fenway/Symphony,74,10,3,32860113,Emily,2324,within an hour,100,0,Apartment,Entire home/apt,180,500,30,2,1125
Nice 1 BR on the park,23,10,2,32278468,Doug,2331,within an hour,100,0,Apartment,Entire home/apt,225,300,50,2,1125
Private apartment on Newbury Street,3,9,2,29336905,Emily,2378,within a day,100,0,Apartment,Entire home/apt,275,500,100,2,60
"Light-filled, central apartment",5,10,2,23181076,Iain,2512,within a day,100,0,Apartment,Entire home/apt,190,100,58,3,1125
Location! Spacious with patio,3,9,3,10132799,Ezra,2858,within a day,100,0,Apartment,Shared room,79,200,35,1,2
Centrally located studio apartment,3,7,3,80570686,Sienna,1906,within an hour,100,0,Apartment,Entire home/apt,150,100,50,3,60
Convenient Studio in Fenway Area,1,8,2,46814477,Tao,2160,within an hour,100,0,Apartment,Private room,159,199,79,1,1125
Parkside and sunny with a view,2,10,2,12790789,Amanda,2753,within a day,100,0,Apartment,Entire home/apt,210,200,200,3,1125
"Cozy, Convenient Back Bay Home",28,9,2,35990162,Gerald,2284,within an hour,100,0,Apartment,Entire home/apt,200,100,70,3,1125
Bedroom in Heart of Fenway,3,10,3,84987667,Anne,1884,within an hour,100,0,Apartment,Private room,87,200,50,1,14
Cozy Apt in Symphony/Fenway,4,8,3,31035017,Jason,2350,within an hour,100,0,Apartment,Entire home/apt,160,100,8,1,1125
Fenway 1BD in 1920s building.,13,9,3,23822417,Barbara + Tyler,2496,within an hour,100,0,Apartment,Entire home/apt,200,200,30,2,1125
Cozy room at Fenway,11,9,3,42073056,Filipe,2219,within an hour,100,0,Apartment,Private room,89,95,20,1,1125
Brand New Apt in Great Location!,29,9,2,44341268,Tony,2192,within a few hours,100,0,Apartment,Entire home/apt,295,500,99,3,1125
"Comfy 1 Bedroom, Centrally Located",3,9,1,958639,Larry,3689,within an hour,100,0,Apartment,Entire home/apt,155,100,75,3,4
Fenway Park Top Floor Quiet Gem,43,8,3,9967305,Kelly,2865,within a few hours,96,0,Apartment,Entire home/apt,115,100,50,2,10
Back Bay Elegance in Brighton ,125,9,3,9508341,Phyllis,2890,within an hour,100,0,House,Private room,99,100,20,1,1125
"1 BR Top Floor Retreat, near Harvard Sq",10,9,1,78433797,Elizabeth,1916,within an hour,100,0,Apartment,Private room,58,95,8,1,14
Welcome2Boston2: Near BC/BU/Harvard,29,9,3,29066313,Andy,2383,within a few hours,100,0,Apartment,Entire home/apt,193,150,95,1,1125
Shared Room near Harvard Free Parking & Wi-Fi 可講中文,33,10,2,17177989,Ai-Ying,2641,within a few hours,100,0,House,Shared room,58,100,10,2,1125
"BC,BU sleeps 4,close to T,Boston",10,9,3,46024636,Paul,2171,within an hour,100,0,Apartment,Entire home/apt,110,300,100,2,1125
Comfortable one bedroom in Boston Landing,11,10,2,6210771,Matthew,3058,within a few hours,69,0,Apartment,Entire home/apt,135,500,50,2,12
"Nice, clean and lovely",2,9,3,69422156,Zhengyang,1967,within a day,67,0,Apartment,Shared room,40,100,5,1,1125
Bright and cozy newly renovated 1BR,19,9,2,50437930,Misha,2114,within an hour,100,0,Apartment,Entire home/apt,140,500,50,2,1125
Brighton/Allston quiet neighborhood/furnished,2,10,3,77158766,Eunice,1923,within a few hours,100,0,House,Private room,42,300,50,30,365
Stunning room in hipster town,24,9,3,15575274,Sa,2681,within an hour,100,0,Apartment,Private room,79,100,70,1,1125
"Sunny renovated 1 bed, near BC,BU",30,9,3,31340713,Kama,2345,within an hour,100,0,Apartment,Entire home/apt,125,350,100,2,1125
Beautiful room in hipster town,17,10,3,15575274,Sa,2681,within an hour,100,0,Apartment,Private room,81,100,70,1,1125
"Private Room in 1st floor apartment: Brighton, MA",4,9,3,18396057,Joshua,2616,within an hour,100,0,Apartment,Private room,227,250,10,1,1125
Cozy and Easy Access to Everything,87,10,3,36453929,James & Afeng,2278,within an hour,100,0,Apartment,Private room,110,100,15,1,5
"Sofa-bed with laundry, Wi-Fi, and kitchen near BC",6,10,1,73947522,Kelsey,1940,within an hour,100,0,Apartment,Shared room,40,95,10,1,4
Historic House modernized,20,10,2,24124767,Jeff,2488,within an hour,100,0,House,Entire home/apt,450,500,250,3,1125
"One bedroom, one bath apartment",1,10,2,8130814,Lison,2956,within a day,100,0,Apartment,Entire home/apt,85,500,200,3,1125
"sunny,cozy,near BC,BU,Boston,MBTA",15,9,3,31340713,Kama,2345,within an hour,100,0,Apartment,Entire home/apt,85,350,100,1,1125
Brighton 2BR by BC campus with lake view and AC,2,10,2,68779474,Steven,1970,within an hour,100,0,Apartment,Entire home/apt,120,200,35,3,90
